prompt_file,prompt_strategy,text_type,target_class,saturation_level,candidate_count
chatgpt_paper_style_word_N_50.txt,paper_style,word,N,50,20
chatgpt_strict_plain_list_word_N_50.txt,strict_plain_list,word,N,50,20
chatgpt_paper_style_sentence_N_50.txt,paper_style,sentence,N,50,20
chatgpt_strict_plain_list_sentence_N_50.txt,strict_plain_list,sentence,N,50,20
chatgpt_paper_style_word_N_70.txt,paper_style,word,N,70,20
chatgpt_strict_plain_list_word_N_70.txt,strict_plain_list,word,N,70,20
chatgpt_paper_style_sentence_N_70.txt,paper_style,sentence,N,70,20
chatgpt_strict_plain_list_sentence_N_70.txt,strict_plain_list,sentence,N,70,20
chatgpt_paper_style_word_SN_50.txt,paper_style,word,SN,50,20
chatgpt_strict_plain_list_word_SN_50.txt,strict_plain_list,word,SN,50,20
chatgpt_paper_style_sentence_SN_50.txt,paper_style,sentence,SN,50,20
chatgpt_strict_plain_list_sentence_SN_50.txt,strict_plain_list,sentence,SN,50,20
chatgpt_paper_style_word_SN_70.txt,paper_style,word,SN,70,20
chatgpt_strict_plain_list_word_SN_70.txt,strict_plain_list,word,SN,70,20
chatgpt_paper_style_sentence_SN_70.txt,paper_style,sentence,SN,70,20
chatgpt_strict_plain_list_sentence_SN_70.txt,strict_plain_list,sentence,SN,70,20
chatgpt_paper_style_word_S_50.txt,paper_style,word,S,50,20
chatgpt_strict_plain_list_word_S_50.txt,strict_plain_list,word,S,50,20
chatgpt_paper_style_sentence_S_50.txt,paper_style,sentence,S,50,20
chatgpt_strict_plain_list_sentence_S_50.txt,strict_plain_list,sentence,S,50,20
chatgpt_paper_style_word_S_70.txt,paper_style,word,S,70,20
chatgpt_strict_plain_list_word_S_70.txt,strict_plain_list,word,S,70,20
chatgpt_paper_style_sentence_S_70.txt,paper_style,sentence,S,70,20
chatgpt_strict_plain_list_sentence_S_70.txt,strict_plain_list,sentence,S,70,20
chatgpt_paper_style_word_SV_50.txt,paper_style,word,SV,50,20
chatgpt_strict_plain_list_word_SV_50.txt,strict_plain_list,word,SV,50,20
chatgpt_paper_style_sentence_SV_50.txt,paper_style,sentence,SV,50,20
chatgpt_strict_plain_list_sentence_SV_50.txt,strict_plain_list,sentence,SV,50,20
chatgpt_paper_style_word_SV_70.txt,paper_style,word,SV,70,20
chatgpt_strict_plain_list_word_SV_70.txt,strict_plain_list,word,SV,70,20
chatgpt_paper_style_sentence_SV_70.txt,paper_style,sentence,SV,70,20
chatgpt_strict_plain_list_sentence_SV_70.txt,strict_plain_list,sentence,SV,70,20
chatgpt_paper_style_word_V_50.txt,paper_style,word,V,50,20
chatgpt_strict_plain_list_word_V_50.txt,strict_plain_list,word,V,50,20
chatgpt_paper_style_sentence_V_50.txt,paper_style,sentence,V,50,20
chatgpt_strict_plain_list_sentence_V_50.txt,strict_plain_list,sentence,V,50,20
chatgpt_paper_style_word_V_70.txt,paper_style,word,V,70,20
chatgpt_strict_plain_list_word_V_70.txt,strict_plain_list,word,V,70,20
chatgpt_paper_style_sentence_V_70.txt,paper_style,sentence,V,70,20
chatgpt_strict_plain_list_sentence_V_70.txt,strict_plain_list,sentence,V,70,20
