run_id,candidate_id,candidate,normalized_text,model,source_adapter,prompt_strategy,target_class,saturation_level,text_type,tts_adapter,tts_model_or_voice,croatian_voice_or_model_confirmed,speaker_embedding_source,audio_path,sample_rate,channels,sample_width_bits,duration_seconds,synthesis_status,error,suitable_for_audio_eval
20260604_160319,20260604_160319_00048,Bubanj puni buku.,bubanj puni buku,ChatGPT Plus,manual_csv,paper_style,N,50.0,sentence,espeak_ng,hr,yes,,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00048.wav,16000,1,16,1.2324375,success,,yes
20260604_160319,20260604_160319_00060,Mama puni pumpu.,mama puni pumpu,ChatGPT Plus,manual_csv,strict_plain_list,N,50.0,sentence,espeak_ng,hr,yes,,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00060.wav,16000,1,16,1.146375,success,,yes
20260604_160319,20260604_160319_00067,Unuk pumpa gumu.,unuk pumpa gumu,ChatGPT Plus,manual_csv,strict_plain_list,N,50.0,sentence,espeak_ng,hr,yes,,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00067.wav,16000,1,16,1.182375,success,,yes
20260604_160319,20260604_160319_00040,Mama mumlja punu bundu.,mama mumlja punu bundu,ChatGPT Plus,manual_csv,paper_style,N,50.0,sentence,espeak_ng,hr,yes,,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00040.wav,16000,1,16,1.465375,success,,yes
20260604_160319,20260604_160319_00045,Mamin unuk bubnja.,mamin unuk bubnja,ChatGPT Plus,manual_csv,paper_style,N,50.0,sentence,espeak_ng,hr,yes,,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00045.wav,16000,1,16,1.2321875,success,,yes
20260604_160319,20260604_160319_00132,Unuk pumpa pumpu.,unuk pumpa pumpu,ChatGPT Plus,manual_csv,paper_style,N,70.0,sentence,espeak_ng,hr,yes,,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00132.wav,16000,1,16,1.3004375,success,,yes
20260604_160319,20260604_160319_00153,Buba pumpa pumpu.,buba pumpa pumpu,ChatGPT Plus,manual_csv,strict_plain_list,N,70.0,sentence,espeak_ng,hr,yes,,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00153.wav,16000,1,16,1.2985625,success,,yes
20260604_160319,20260604_160319_00126,Buba puni pumpu.,buba puni pumpu,ChatGPT Plus,manual_csv,paper_style,N,70.0,sentence,espeak_ng,hr,yes,,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00126.wav,16000,1,16,1.177625,success,,yes
20260604_160319,20260604_160319_00143,Unuk puni pumpu.,unuk puni pumpu,ChatGPT Plus,manual_csv,strict_plain_list,N,70.0,sentence,espeak_ng,hr,yes,,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00143.wav,16000,1,16,1.191625,success,,yes
20260604_160319,20260604_160319_00120,Mama pumpa pumpu.,mama pumpa pumpu,ChatGPT Plus,manual_csv,paper_style,N,70.0,sentence,espeak_ng,hr,yes,,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00120.wav,16000,1,16,1.2668125,success,,yes
