model,prompt_strategy,target_class,saturation_level,text_type,pcd_version,candidate_count,average_pcd
ChatGPT Plus,paper_style,N,40.0,word,pcd_paper_style,9,0.5255621693121693
ChatGPT Plus,paper_style,N,50.0,word,pcd_paper_style,4,0.4861111111111111
ChatGPT Plus,paper_style,N,60.0,word,pcd_paper_style,2,0.8571428571428571
ChatGPT Plus,paper_style,N,70.0,word,pcd_paper_style,4,0.625
ChatGPT Plus,paper_style,N,80.0,word,pcd_paper_style,7,0.5126984126984127
ChatGPT Plus,paper_style,SN,40.0,word,pcd_paper_style,10,0.4703703703703704
ChatGPT Plus,paper_style,SN,60.0,word,pcd_paper_style,1,0.0
ChatGPT Plus,paper_style,SN,70.0,word,pcd_paper_style,1,0.0
ChatGPT Plus,paper_style,SN,80.0,word,pcd_paper_style,2,0.3333333333333333
ChatGPT Plus,paper_style,S,40.0,word,pcd_paper_style,11,0.46145021645021644
ChatGPT Plus,paper_style,S,50.0,word,pcd_paper_style,2,0.5714285714285714
ChatGPT Plus,paper_style,S,60.0,word,pcd_paper_style,3,0.48333333333333334
ChatGPT Plus,paper_style,S,70.0,word,pcd_paper_style,1,0.0
ChatGPT Plus,paper_style,S,80.0,word,pcd_paper_style,3,0.4666666666666666
ChatGPT Plus,paper_style,SV,40.0,word,pcd_paper_style,11,0.5724242424242424
ChatGPT Plus,paper_style,SV,60.0,word,pcd_paper_style,2,0.625
ChatGPT Plus,paper_style,SV,70.0,word,pcd_paper_style,1,0.0
ChatGPT Plus,paper_style,SV,80.0,word,pcd_paper_style,6,0.4033333333333333
ChatGPT Plus,paper_style,V,40.0,word,pcd_paper_style,11,0.6676190476190477
ChatGPT Plus,paper_style,V,50.0,word,pcd_paper_style,4,0.6611111111111111
ChatGPT Plus,paper_style,V,70.0,word,pcd_paper_style,10,0.5166666666666667
ChatGPT Plus,paper_style,V,80.0,word,pcd_paper_style,2,0.3333333333333333
ChatGPT Plus,paper_style,N,50.0,sentence,pcd_paper_style,21,0.42358015000872146
ChatGPT Plus,paper_style,N,70.0,sentence,pcd_paper_style,16,0.30383306100217866
ChatGPT Plus,paper_style,SN,50.0,sentence,pcd_paper_style,21,0.34644030572601997
ChatGPT Plus,paper_style,SN,70.0,sentence,pcd_paper_style,14,0.3102665129168038
ChatGPT Plus,paper_style,S,50.0,sentence,pcd_paper_style,21,0.31701000125646295
ChatGPT Plus,paper_style,S,70.0,sentence,pcd_paper_style,18,0.31982681443465755
ChatGPT Plus,paper_style,SV,50.0,sentence,pcd_paper_style,20,0.4143071479603987
ChatGPT Plus,paper_style,SV,70.0,sentence,pcd_paper_style,14,0.3012035583464155
ChatGPT Plus,paper_style,V,50.0,sentence,pcd_paper_style,18,0.40706181980691786
ChatGPT Plus,paper_style,V,70.0,sentence,pcd_paper_style,6,0.28640692640692644
