run_id,phoneme,count
20260604_123621,a,568
20260604_123621,b,109
20260604_123621,c,68
20260604_123621,d,209
20260604_123621,e,363
20260604_123621,g,133
20260604_123621,h,10
20260604_123621,i,356
20260604_123621,j,122
20260604_123621,k,145
20260604_123621,l,182
20260604_123621,lj,5
20260604_123621,m,83
20260604_123621,n,142
20260604_123621,nj,28
20260604_123621,o,248
20260604_123621,p,144
20260604_123621,r,246
20260604_123621,s,179
20260604_123621,t,226
20260604_123621,u,290
20260604_123621,v,167
20260604_123621,z,54
20260604_123621,ć,28
20260604_123621,č,79
20260604_123621,đ,14
20260604_123621,š,49
20260604_123621,ž,31
