run_id,model,prompt_strategy,target_class,saturation_level,text_type,candidate_count,valid_count,valid_rate,saturation_pass_count,saturation_pass_rate,unique_candidate_rate,duplicate_rate,average_saturation,pcd_version,average_pcd,failed_saturation,invalid_characters,wrong_word_count,duplicate,repeated_words,dictionary_failed
20260529_171437,manual,baseline_prompt,N,40.0,word,2,1,0.5,2,1.0,0.5,0.5,66.66666666666666,pcd_paper_style,0.0,0,0,0,1,0,0
20260529_171437,manual,baseline_prompt,N,50.0,sentence,1,0,0.0,0,0.0,1.0,0.0,41.66666666666667,pcd_paper_style,0.0,1,0,0,0,1,0
20260529_171437,manual,baseline_prompt,N,50.0,word,1,1,1.0,1,1.0,1.0,0.0,75.0,pcd_paper_style,0.0,0,0,0,0,0,0
20260529_171437,manual,baseline_prompt,N,60.0,word,1,1,1.0,1,1.0,1.0,0.0,100.0,pcd_paper_style,0.0,0,0,0,0,0,0
20260529_171437,manual,baseline_prompt,N,70.0,sentence,1,0,0.0,0,0.0,1.0,0.0,57.14285714285714,pcd_paper_style,0.0,1,0,0,0,0,0
20260529_171437,manual,baseline_prompt,S,40.0,word,2,0,0.0,0,0.0,0.5,0.5,33.33333333333333,pcd_paper_style,0.0,2,0,0,1,0,0
20260529_171437,manual,baseline_prompt,S,50.0,word,1,1,1.0,1,1.0,1.0,0.0,100.0,pcd_paper_style,0.0,0,0,0,0,0,0
20260529_171437,manual,baseline_prompt,SN,40.0,word,1,1,1.0,1,1.0,1.0,0.0,50.0,pcd_paper_style,0.0,0,0,0,0,0,0
20260529_171437,manual,baseline_prompt,SN,50.0,sentence,2,0,0.0,1,0.5,1.0,0.0,44.642857142857146,pcd_paper_style,0.8214285714285714,1,0,2,0,0,0
20260529_171437,manual,baseline_prompt,SN,50.0,word,1,1,1.0,1,1.0,1.0,0.0,100.0,pcd_paper_style,0.0,0,0,0,0,0,0
20260529_171437,manual,baseline_prompt,SN,70.0,sentence,1,1,1.0,1,1.0,1.0,0.0,72.72727272727273,pcd_paper_style,0.0,0,0,0,0,0,0
20260529_171437,manual,baseline_prompt,SV,40.0,word,1,1,1.0,1,1.0,1.0,0.0,75.0,pcd_paper_style,0.0,0,0,0,0,0,0
20260529_171437,manual,baseline_prompt,SV,50.0,sentence,2,0,0.0,1,0.5,1.0,0.0,59.72222222222222,pcd_paper_style,0.6666666666666666,1,0,1,0,1,0
20260529_171437,manual,baseline_prompt,SV,50.0,word,1,1,1.0,1,1.0,1.0,0.0,100.0,pcd_paper_style,0.0,0,0,0,0,0,0
20260529_171437,manual,baseline_prompt,V,40.0,word,1,1,1.0,1,1.0,1.0,0.0,66.66666666666666,pcd_paper_style,0.0,0,0,0,0,0,0
20260529_171437,manual,baseline_prompt,V,50.0,word,3,1,0.3333333333333333,1,0.3333333333333333,1.0,0.0,41.7989417989418,pcd_paper_style,1.0,2,2,1,0,0,0
20260529_171437,manual,baseline_prompt,V,80.0,word,1,0,0.0,0,0.0,1.0,0.0,0.0,pcd_paper_style,0.0,1,0,0,1,0,0
20260529_171437,manual,few_shot_prompt,N,40.0,sentence,1,1,1.0,1,1.0,1.0,0.0,66.66666666666666,pcd_paper_style,0.0,0,0,0,0,0,0
20260529_171437,manual,few_shot_prompt,N,50.0,sentence,1,1,1.0,1,1.0,1.0,0.0,66.66666666666666,pcd_paper_style,0.0,0,0,0,0,0,0
20260529_171437,manual,few_shot_prompt,S,40.0,sentence,1,1,1.0,1,1.0,1.0,0.0,58.333333333333336,pcd_paper_style,0.0,0,0,0,0,0,0
20260529_171437,manual,few_shot_prompt,S,50.0,sentence,1,1,1.0,1,1.0,1.0,0.0,69.23076923076923,pcd_paper_style,0.0,0,0,0,0,0,0
20260529_171437,manual,few_shot_prompt,SN,40.0,sentence,1,1,1.0,1,1.0,1.0,0.0,61.53846153846154,pcd_paper_style,0.0,0,0,0,0,0,0
20260529_171437,manual,few_shot_prompt,SN,50.0,sentence,1,1,1.0,1,1.0,1.0,0.0,60.0,pcd_paper_style,0.0,0,0,0,0,0,0
20260529_171437,manual,few_shot_prompt,SV,40.0,sentence,1,1,1.0,1,1.0,1.0,0.0,69.23076923076923,pcd_paper_style,0.0,0,0,0,0,0,0
20260529_171437,manual,few_shot_prompt,SV,50.0,sentence,1,1,1.0,1,1.0,1.0,0.0,76.92307692307693,pcd_paper_style,0.0,0,0,0,0,0,0
20260529_171437,manual,few_shot_prompt,V,40.0,sentence,1,1,1.0,1,1.0,1.0,0.0,58.333333333333336,pcd_paper_style,0.0,0,0,0,0,0,0
20260529_171437,manual,few_shot_prompt,V,50.0,sentence,1,1,1.0,1,1.0,1.0,0.0,72.72727272727273,pcd_paper_style,0.0,0,0,0,0,0,0
20260529_171437,manual,generate_more_than_needed_prompt,N,60.0,sentence,1,1,1.0,1,1.0,1.0,0.0,84.61538461538461,pcd_paper_style,0.0,0,0,0,0,0,0
