run_id,candidate_id,candidate,model,prompt_strategy,target_class,saturation_level,text_type,source_adapter,source_file,original_text,normalized_text,phonemes,total_phonemes,target_count,saturation_percentage,passes_saturation,is_valid,failure_reasons,word_count,dictionary_mode,dictionary_backend,dictionary_word_validity,dictionary_invalid_words,dictionary_unknown_words,dictionary_review_complete
20260604_151847,20260604_151847_00034,Napomenuti,llama3.1:8b,strict_plain_list,N,50.0,word,manual_csv,data/generated_ollama_task16_full.csv,Napomenuti,napomenuti,n a p o m e n u t i,10,5,50.0,True,True,,1,hunspell_cli,hunspell_cli,yes,,,yes
20260604_151847,20260604_151847_00143,glas,llama3.1:8b,paper_style,SN,50.0,word,manual_csv,data/generated_ollama_task16_full.csv,glas,glas,g l a s,4,2,50.0,True,True,,1,hunspell_cli,hunspell_cli,yes,,,yes
20260604_151847,20260604_151847_00144,glog,llama3.1:8b,paper_style,SN,50.0,word,manual_csv,data/generated_ollama_task16_full.csv,glog,glog,g l o g,4,4,100.0,True,True,,1,hunspell_cli,hunspell_cli,yes,,,yes
20260604_151847,20260604_151847_00145,hola,llama3.1:8b,paper_style,SN,50.0,word,manual_csv,data/generated_ollama_task16_full.csv,hola,hola,h o l a,4,3,75.0,True,True,,1,hunspell_cli,hunspell_cli,yes,,,yes
20260604_151847,20260604_151847_00150,lako,llama3.1:8b,paper_style,SN,50.0,word,manual_csv,data/generated_ollama_task16_full.csv,lako,lako,l a k o,4,2,50.0,True,True,,1,hunspell_cli,hunspell_cli,yes,,,yes
20260604_151847,20260604_151847_00157,oko,llama3.1:8b,paper_style,SN,50.0,word,manual_csv,data/generated_ollama_task16_full.csv,oko,oko,o k o,3,2,66.66666666666666,True,True,,1,hunspell_cli,hunspell_cli,yes,,,yes
20260604_151847,20260604_151847_00242,gola,llama3.1:8b,strict_plain_list,SN,70.0,word,manual_csv,data/generated_ollama_task16_full.csv,gola,gola,g o l a,4,3,75.0,True,True,,1,hunspell_cli,hunspell_cli,yes,,,yes
20260604_151847,20260604_151847_00248,volja,llama3.1:8b,strict_plain_list,SN,70.0,word,manual_csv,data/generated_ollama_task16_full.csv,volja,volja,v o lj a,4,3,75.0,True,True,,1,hunspell_cli,hunspell_cli,yes,,,yes
20260604_151847,20260604_151847_00293,krv,llama3.1:8b,paper_style,S,50.0,word,manual_csv,data/generated_ollama_task16_full.csv,krv,krv,k r v,3,2,66.66666666666666,True,True,,1,hunspell_cli,hunspell_cli,yes,,,yes
20260604_151847,20260604_151847_00294,krvariti,llama3.1:8b,paper_style,S,50.0,word,manual_csv,data/generated_ollama_task16_full.csv,krvariti,krvariti,k r v a r i t i,8,4,50.0,True,True,,1,hunspell_cli,hunspell_cli,yes,,,yes
20260604_151847,20260604_151847_00295,kraj,llama3.1:8b,paper_style,S,50.0,word,manual_csv,data/generated_ollama_task16_full.csv,kraj,kraj,k r a j,4,3,75.0,True,True,,1,hunspell_cli,hunspell_cli,yes,,,yes
20260604_151847,20260604_151847_00296,kruga,llama3.1:8b,paper_style,S,50.0,word,manual_csv,data/generated_ollama_task16_full.csv,kruga,kruga,k r u g a,5,3,60.0,True,True,,1,hunspell_cli,hunspell_cli,yes,,,yes
20260604_151847,20260604_151847_00298,kuća,llama3.1:8b,paper_style,S,50.0,word,manual_csv,data/generated_ollama_task16_full.csv,kuća,kuća,k u ć a,4,2,50.0,True,True,,1,hunspell_cli,hunspell_cli,yes,,,yes
20260604_151847,20260604_151847_00300,kuna,llama3.1:8b,paper_style,S,50.0,word,manual_csv,data/generated_ollama_task16_full.csv,kuna,kuna,k u n a,4,2,50.0,True,True,,1,hunspell_cli,hunspell_cli,yes,,,yes
20260604_151847,20260604_151847_00302,kukavica,llama3.1:8b,paper_style,S,50.0,word,manual_csv,data/generated_ollama_task16_full.csv,kukavica,kukavica,k u k a v i c a,8,4,50.0,True,True,,1,hunspell_cli,hunspell_cli,yes,,,yes
