model,prompt_strategy,target_class,saturation_level,text_type,pcd_version,candidate_count,average_pcd
ChatGPT Plus,paper_style,N,50.0,word,pcd_paper_style,19,0.568984962406015
ChatGPT Plus,strict_plain_list,N,50.0,word,pcd_paper_style,4,0.6626984126984127
ChatGPT Plus,paper_style,N,50.0,sentence,pcd_paper_style,20,0.3871810937600411
ChatGPT Plus,strict_plain_list,N,50.0,sentence,pcd_paper_style,18,0.44682539682539685
ChatGPT Plus,paper_style,N,70.0,word,pcd_paper_style,11,0.5306060606060606
ChatGPT Plus,strict_plain_list,N,70.0,word,pcd_paper_style,1,0.0
ChatGPT Plus,paper_style,N,70.0,sentence,pcd_paper_style,5,0.3401098901098901
ChatGPT Plus,strict_plain_list,N,70.0,sentence,pcd_paper_style,10,0.38266178266178263
ChatGPT Plus,paper_style,SN,50.0,word,pcd_paper_style,19,0.5980506822612086
ChatGPT Plus,strict_plain_list,SN,50.0,word,pcd_paper_style,1,0.0
ChatGPT Plus,paper_style,SN,50.0,sentence,pcd_paper_style,18,0.37004853086167966
ChatGPT Plus,strict_plain_list,SN,50.0,sentence,pcd_paper_style,8,0.37362637362637363
ChatGPT Plus,paper_style,SN,70.0,word,pcd_paper_style,14,0.43241758241758244
ChatGPT Plus,paper_style,SN,70.0,sentence,pcd_paper_style,1,0.0
ChatGPT Plus,strict_plain_list,SN,70.0,sentence,pcd_paper_style,5,0.35984848484848486
ChatGPT Plus,paper_style,S,50.0,word,pcd_paper_style,20,0.4783333333333334
ChatGPT Plus,strict_plain_list,S,50.0,word,pcd_paper_style,3,0.5555555555555555
ChatGPT Plus,paper_style,S,50.0,sentence,pcd_paper_style,20,0.3737669399743703
ChatGPT Plus,strict_plain_list,S,50.0,sentence,pcd_paper_style,12,0.37667332667332665
ChatGPT Plus,paper_style,S,70.0,word,pcd_paper_style,2,0.2
ChatGPT Plus,paper_style,S,70.0,sentence,pcd_paper_style,13,0.2518033248802479
ChatGPT Plus,strict_plain_list,S,70.0,sentence,pcd_paper_style,9,0.2859635734635735
ChatGPT Plus,paper_style,SV,50.0,word,pcd_paper_style,20,0.5556077694235589
ChatGPT Plus,paper_style,SV,50.0,sentence,pcd_paper_style,18,0.42989509529301917
ChatGPT Plus,strict_plain_list,SV,50.0,sentence,pcd_paper_style,16,0.4163713295147119
ChatGPT Plus,paper_style,SV,70.0,word,pcd_paper_style,9,0.43253968253968256
ChatGPT Plus,paper_style,SV,70.0,sentence,pcd_paper_style,13,0.3772036517987935
ChatGPT Plus,strict_plain_list,SV,70.0,sentence,pcd_paper_style,8,0.3256017791732077
ChatGPT Plus,paper_style,V,50.0,word,pcd_paper_style,20,0.6617167919799499
ChatGPT Plus,strict_plain_list,V,50.0,word,pcd_paper_style,2,0.75
ChatGPT Plus,paper_style,V,50.0,sentence,pcd_paper_style,17,0.4483957219251337
ChatGPT Plus,strict_plain_list,V,50.0,sentence,pcd_paper_style,6,0.43037518037518036
ChatGPT Plus,paper_style,V,70.0,word,pcd_paper_style,9,0.43842592592592594
ChatGPT Plus,paper_style,V,70.0,sentence,pcd_paper_style,9,0.3663119288119288
ChatGPT Plus,strict_plain_list,V,70.0,sentence,pcd_paper_style,7,0.3116883116883117
