left_index,right_index,left_candidate,right_candidate,pcd_version,pcd
0,0,barman,barman,pcd_paper_style,0.0
0,1,barman,napomenuti,pcd_paper_style,0.7
0,2,barman,glas,pcd_paper_style,0.8333333333333334
0,3,barman,glog,pcd_paper_style,1.0
0,4,barman,hola,pcd_paper_style,0.8333333333333334
0,5,barman,lako,pcd_paper_style,0.8333333333333334
0,6,barman,likov,pcd_paper_style,1.0
0,7,barman,logar,pcd_paper_style,0.6666666666666666
0,8,barman,oko,pcd_paper_style,1.0
0,9,barman,poklop,pcd_paper_style,1.0
0,10,barman,gola,pcd_paper_style,0.8333333333333334
0,11,barman,volja,pcd_paper_style,0.8333333333333334
0,12,barman,krv,pcd_paper_style,0.8333333333333334
0,13,barman,krvariti,pcd_paper_style,0.75
0,14,barman,kraj,pcd_paper_style,0.6666666666666666
0,15,barman,kruga,pcd_paper_style,0.6666666666666666
0,16,barman,kuća,pcd_paper_style,0.8333333333333334
0,17,barman,kuna,pcd_paper_style,0.6666666666666666
0,18,barman,kukavica,pcd_paper_style,0.75
0,19,barman,sadržaj,pcd_paper_style,0.5714285714285714
0,20,barman,dva dječaka hajde,pcd_paper_style,0.8666666666666667
0,21,barman,baraka,pcd_paper_style,0.3333333333333333
0,22,barman,barka,pcd_paper_style,0.3333333333333333
0,23,barman,četiri,pcd_paper_style,0.8333333333333334
0,24,barman,često,pcd_paper_style,1.0
0,25,barman,češka,pcd_paper_style,0.8333333333333334
0,26,barman,večer,pcd_paper_style,0.8333333333333334
0,27,barman,tečnost,pcd_paper_style,0.8571428571428571
0,28,barman,učište,pcd_paper_style,1.0
0,29,barman,učite,pcd_paper_style,1.0
0,30,barman,učilište,pcd_paper_style,1.0
0,31,barman,šumeti,pcd_paper_style,0.8333333333333334
0,32,barman,cijeli,pcd_paper_style,1.0
0,33,barman,cilj,pcd_paper_style,1.0
1,0,napomenuti,barman,pcd_paper_style,0.7
1,1,napomenuti,napomenuti,pcd_paper_style,0.0
1,2,napomenuti,glas,pcd_paper_style,0.9
1,3,napomenuti,glog,pcd_paper_style,0.9
1,4,napomenuti,hola,pcd_paper_style,0.8
1,5,napomenuti,lako,pcd_paper_style,0.8
1,6,napomenuti,likov,pcd_paper_style,0.8
1,7,napomenuti,logar,pcd_paper_style,0.8
1,8,napomenuti,oko,pcd_paper_style,0.9
1,9,napomenuti,poklop,pcd_paper_style,0.8
1,10,napomenuti,gola,pcd_paper_style,0.8
1,11,napomenuti,volja,pcd_paper_style,0.8
1,12,napomenuti,krv,pcd_paper_style,1.0
1,13,napomenuti,krvariti,pcd_paper_style,0.7
1,14,napomenuti,kraj,pcd_paper_style,0.9
1,15,napomenuti,kruga,pcd_paper_style,0.8
1,16,napomenuti,kuća,pcd_paper_style,0.8
1,17,napomenuti,kuna,pcd_paper_style,0.7
1,18,napomenuti,kukavica,pcd_paper_style,0.7
1,19,napomenuti,sadržaj,pcd_paper_style,0.9
1,20,napomenuti,dva dječaka hajde,pcd_paper_style,0.8666666666666667
1,21,napomenuti,baraka,pcd_paper_style,0.9
1,22,napomenuti,barka,pcd_paper_style,0.9
1,23,napomenuti,četiri,pcd_paper_style,0.7
1,24,napomenuti,često,pcd_paper_style,0.7
1,25,napomenuti,češka,pcd_paper_style,0.8
1,26,napomenuti,večer,pcd_paper_style,0.9
1,27,napomenuti,tečnost,pcd_paper_style,0.6
1,28,napomenuti,učište,pcd_paper_style,0.6
1,29,napomenuti,učite,pcd_paper_style,0.6
1,30,napomenuti,učilište,pcd_paper_style,0.6
1,31,napomenuti,šumeti,pcd_paper_style,0.5
