run_id,phoneme,count
20260529_170549,1,1
20260529_170549,2,1
20260529_170549,3,1
20260529_170549,a,16
20260529_170549,b,4
20260529_170549,c,2
20260529_170549,d,1
20260529_170549,dž,1
20260529_170549,e,14
20260529_170549,i,5
20260529_170549,k,3
20260529_170549,l,3
20260529_170549,lj,2
20260529_170549,n,6
20260529_170549,nj,3
20260529_170549,o,9
20260529_170549,p,8
20260529_170549,r,4
20260529_170549,s,6
20260529_170549,t,8
20260529_170549,u,4
20260529_170549,v,2
20260529_170549,z,2
20260529_170549,ć,1
20260529_170549,č,2
20260529_170549,š,5
