run_id,phoneme,count
20260604_143739,0,2
20260604_143739,4,2
20260604_143739,a,1536
20260604_143739,b,253
20260604_143739,c,126
20260604_143739,d,345
20260604_143739,dž,4
20260604_143739,e,1101
20260604_143739,f,12
20260604_143739,g,186
20260604_143739,h,103
20260604_143739,i,1245
20260604_143739,j,492
20260604_143739,k,535
20260604_143739,l,403
20260604_143739,lj,99
20260604_143739,m,316
20260604_143739,n,818
20260604_143739,nj,127
20260604_143739,o,976
20260604_143739,p,201
20260604_143739,r,566
20260604_143739,s,559
20260604_143739,t,523
20260604_143739,u,517
20260604_143739,v,540
20260604_143739,w,2
20260604_143739,y,1
20260604_143739,z,226
20260604_143739,ć,126
20260604_143739,č,192
20260604_143739,đ,24
20260604_143739,š,148
20260604_143739,ť,1
20260604_143739,ž,146
