run_id,phoneme,count
20260603_171515,1,1
20260603_171515,2,1
20260603_171515,3,1
20260603_171515,a,16
20260603_171515,b,4
20260603_171515,c,2
20260603_171515,d,1
20260603_171515,dž,1
20260603_171515,e,14
20260603_171515,i,5
20260603_171515,k,3
20260603_171515,l,3
20260603_171515,lj,2
20260603_171515,n,6
20260603_171515,nj,3
20260603_171515,o,9
20260603_171515,p,8
20260603_171515,r,4
20260603_171515,s,6
20260603_171515,t,8
20260603_171515,u,4
20260603_171515,v,2
20260603_171515,z,2
20260603_171515,ć,1
20260603_171515,č,2
20260603_171515,š,5
