run_id,phoneme,count
20260614_183751,1,1
20260614_183751,2,1
20260614_183751,3,1
20260614_183751,a,16
20260614_183751,b,4
20260614_183751,c,2
20260614_183751,d,1
20260614_183751,dž,1
20260614_183751,e,14
20260614_183751,i,5
20260614_183751,k,3
20260614_183751,l,3
20260614_183751,lj,2
20260614_183751,n,6
20260614_183751,nj,3
20260614_183751,o,9
20260614_183751,p,8
20260614_183751,r,4
20260614_183751,s,6
20260614_183751,t,8
20260614_183751,u,4
20260614_183751,v,2
20260614_183751,z,2
20260614_183751,ć,1
20260614_183751,č,2
20260614_183751,š,5
