left_index,right_index,left_candidate,right_candidate,pcd_version,pcd
0,0,napomenuti,napomenuti,pcd_paper_style,0.0
0,1,napomenuti,glas,pcd_paper_style,0.9
0,2,napomenuti,glog,pcd_paper_style,0.9
0,3,napomenuti,hola,pcd_paper_style,0.8
0,4,napomenuti,lako,pcd_paper_style,0.8
0,5,napomenuti,oko,pcd_paper_style,0.9
0,6,napomenuti,gola,pcd_paper_style,0.8
0,7,napomenuti,volja,pcd_paper_style,0.8
0,8,napomenuti,krv,pcd_paper_style,1.0
0,9,napomenuti,krvariti,pcd_paper_style,0.7
0,10,napomenuti,kraj,pcd_paper_style,0.9
0,11,napomenuti,kruga,pcd_paper_style,0.8
0,12,napomenuti,kuća,pcd_paper_style,0.8
0,13,napomenuti,kuna,pcd_paper_style,0.7
0,14,napomenuti,kukavica,pcd_paper_style,0.7
0,15,napomenuti,sadržaj,pcd_paper_style,0.9
0,16,napomenuti,dva dječaka hajde,pcd_paper_style,0.8666666666666667
0,17,napomenuti,baraka,pcd_paper_style,0.9
0,18,napomenuti,barka,pcd_paper_style,0.9
0,19,napomenuti,četiri,pcd_paper_style,0.7
0,20,napomenuti,često,pcd_paper_style,0.7
0,21,napomenuti,češka,pcd_paper_style,0.8
0,22,napomenuti,večer,pcd_paper_style,0.9
0,23,napomenuti,tečnost,pcd_paper_style,0.6
0,24,napomenuti,učite,pcd_paper_style,0.6
0,25,napomenuti,učilište,pcd_paper_style,0.6
0,26,napomenuti,cijeli,pcd_paper_style,0.8
0,27,napomenuti,cilj,pcd_paper_style,0.9
1,0,glas,napomenuti,pcd_paper_style,0.9
1,1,glas,glas,pcd_paper_style,0.0
1,2,glas,glog,pcd_paper_style,0.5
1,3,glas,hola,pcd_paper_style,0.5
1,4,glas,lako,pcd_paper_style,0.5
1,5,glas,oko,pcd_paper_style,1.0
1,6,glas,gola,pcd_paper_style,0.25
1,7,glas,volja,pcd_paper_style,0.75
1,8,glas,krv,pcd_paper_style,1.0
1,9,glas,krvariti,pcd_paper_style,0.875
1,10,glas,kraj,pcd_paper_style,0.75
1,11,glas,kruga,pcd_paper_style,0.6
1,12,glas,kuća,pcd_paper_style,0.75
1,13,glas,kuna,pcd_paper_style,0.75
1,14,glas,kukavica,pcd_paper_style,0.875
1,15,glas,sadržaj,pcd_paper_style,0.7142857142857143
1,16,glas,dva dječaka hajde,pcd_paper_style,0.9333333333333333
1,17,glas,baraka,pcd_paper_style,0.8333333333333334
1,18,glas,barka,pcd_paper_style,0.8
1,19,glas,četiri,pcd_paper_style,1.0
1,20,glas,često,pcd_paper_style,0.8
1,21,glas,češka,pcd_paper_style,0.8
1,22,glas,večer,pcd_paper_style,1.0
1,23,glas,tečnost,pcd_paper_style,0.8571428571428571
1,24,glas,učite,pcd_paper_style,1.0
1,25,glas,učilište,pcd_paper_style,0.875
1,26,glas,cijeli,pcd_paper_style,0.8333333333333334
1,27,glas,cilj,pcd_paper_style,1.0
2,0,glog,napomenuti,pcd_paper_style,0.9
2,1,glog,glas,pcd_paper_style,0.5
2,2,glog,glog,pcd_paper_style,0.0
2,3,glog,hola,pcd_paper_style,0.5
2,4,glog,lako,pcd_paper_style,0.5
2,5,glog,oko,pcd_paper_style,0.75
2,6,glog,gola,pcd_paper_style,0.25
2,7,glog,volja,pcd_paper_style,0.75
2,8,glog,krv,pcd_paper_style,1.0
2,9,glog,krvariti,pcd_paper_style,1.0
2,10,glog,kraj,pcd_paper_style,1.0
2,11,glog,kruga,pcd_paper_style,0.8
2,12,glog,kuća,pcd_paper_style,1.0
2,13,glog,kuna,pcd_paper_style,1.0
2,14,glog,kukavica,pcd_paper_style,1.0
2,15,glog,sadržaj,pcd_paper_style,1.0
2,16,glog,dva dječaka hajde,pcd_paper_style,1.0
2,17,glog,baraka,pcd_paper_style,1.0
2,18,glog,barka,pcd_paper_style,1.0
2,19,glog,četiri,pcd_paper_style,1.0
2,20,glog,često,pcd_paper_style,0.8
2,21,glog,češka,pcd_paper_style,1.0
2,22,glog,večer,pcd_paper_style,1.0
2,23,glog,tečnost,pcd_paper_style,0.8571428571428571
2,24,glog,učite,pcd_paper_style,1.0
2,25,glog,učilište,pcd_paper_style,0.875
2,26,glog,cijeli,pcd_paper_style,0.8333333333333334
2,27,glog,cilj,pcd_paper_style,1.0
3,0,hola,napomenuti,pcd_paper_style,0.8
3,1,hola,glas,pcd_paper_style,0.5
3,2,hola,glog,pcd_paper_style,0.5
3,3,hola,hola,pcd_paper_style,0.0
3,4,hola,lako,pcd_paper_style,0.25
3,5,hola,oko,pcd_paper_style,0.75
3,6,hola,gola,pcd_paper_style,0.25
3,7,hola,volja,pcd_paper_style,0.5
3,8,hola,krv,pcd_paper_style,1.0
3,9,hola,krvariti,pcd_paper_style,0.875
3,10,hola,kraj,pcd_paper_style,0.75
3,11,hola,kruga,pcd_paper_style,0.8
3,12,hola,kuća,pcd_paper_style,0.75
3,13,hola,kuna,pcd_paper_style,0.75
3,14,hola,kukavica,pcd_paper_style,0.875
3,15,hola,sadržaj,pcd_paper_style,0.8571428571428571
3,16,hola,dva dječaka hajde,pcd_paper_style,0.8666666666666667
3,17,hola,baraka,pcd_paper_style,0.8333333333333334
3,18,hola,barka,pcd_paper_style,0.8
3,19,hola,četiri,pcd_paper_style,1.0
3,20,hola,često,pcd_paper_style,0.8
3,21,hola,češka,pcd_paper_style,0.8
3,22,hola,večer,pcd_paper_style,1.0
3,23,hola,tečnost,pcd_paper_style,0.8571428571428571
3,24,hola,učite,pcd_paper_style,1.0
3,25,hola,učilište,pcd_paper_style,0.875
3,26,hola,cijeli,pcd_paper_style,0.8333333333333334
3,27,hola,cilj,pcd_paper_style,1.0
4,0,lako,napomenuti,pcd_paper_style,0.8
4,1,lako,glas,pcd_paper_style,0.5
4,2,lako,glog,pcd_paper_style,0.5
4,3,lako,hola,pcd_paper_style,0.25
4,4,lako,lako,pcd_paper_style,0.0
4,5,lako,oko,pcd_paper_style,0.5
4,6,lako,gola,pcd_paper_style,0.25
4,7,lako,volja,pcd_paper_style,0.5
4,8,lako,krv,pcd_paper_style,0.75
4,9,lako,krvariti,pcd_paper_style,0.75
4,10,lako,kraj,pcd_paper_style,0.5
4,11,lako,kruga,pcd_paper_style,0.6
4,12,lako,kuća,pcd_paper_style,0.5
4,13,lako,kuna,pcd_paper_style,0.5
4,14,lako,kukavica,pcd_paper_style,0.75
4,15,lako,sadržaj,pcd_paper_style,0.8571428571428571
4,16,lako,dva dječaka hajde,pcd_paper_style,0.8666666666666667
4,17,lako,baraka,pcd_paper_style,0.6666666666666666
4,18,lako,barka,pcd_paper_style,0.6
4,19,lako,četiri,pcd_paper_style,1.0
4,20,lako,često,pcd_paper_style,0.8
4,21,lako,češka,pcd_paper_style,0.6
4,22,lako,večer,pcd_paper_style,1.0
4,23,lako,tečnost,pcd_paper_style,0.8571428571428571
4,24,lako,učite,pcd_paper_style,1.0
4,25,lako,učilište,pcd_paper_style,0.875
4,26,lako,cijeli,pcd_paper_style,0.8333333333333334
4,27,lako,cilj,pcd_paper_style,1.0
5,0,oko,napomenuti,pcd_paper_style,0.9
5,1,oko,glas,pcd_paper_style,1.0
5,2,oko,glog,pcd_paper_style,0.75
5,3,oko,hola,pcd_paper_style,0.75
5,4,oko,lako,pcd_paper_style,0.5
5,5,oko,oko,pcd_paper_style,0.0
5,6,oko,gola,pcd_paper_style,0.75
5,7,oko,volja,pcd_paper_style,0.75
5,8,oko,krv,pcd_paper_style,0.6666666666666666
5,9,oko,krvariti,pcd_paper_style,0.875
5,10,oko,kraj,pcd_paper_style,0.75
5,11,oko,kruga,pcd_paper_style,0.8
5,12,oko,kuća,pcd_paper_style,0.75
5,13,oko,kuna,pcd_paper_style,0.75
5,14,oko,kukavica,pcd_paper_style,0.875
5,15,oko,sadržaj,pcd_paper_style,1.0
5,16,oko,dva dječaka hajde,pcd_paper_style,0.9333333333333333
5,17,oko,baraka,pcd_paper_style,0.8333333333333334
5,18,oko,barka,pcd_paper_style,0.8
5,19,oko,četiri,pcd_paper_style,1.0
5,20,oko,često,pcd_paper_style,0.8
5,21,oko,češka,pcd_paper_style,0.8
5,22,oko,večer,pcd_paper_style,1.0
5,23,oko,tečnost,pcd_paper_style,0.8571428571428571
5,24,oko,učite,pcd_paper_style,1.0
5,25,oko,učilište,pcd_paper_style,1.0
5,26,oko,cijeli,pcd_paper_style,1.0
5,27,oko,cilj,pcd_paper_style,1.0
6,0,gola,napomenuti,pcd_paper_style,0.8
6,1,gola,glas,pcd_paper_style,0.25
6,2,gola,glog,pcd_paper_style,0.25
6,3,gola,hola,pcd_paper_style,0.25
6,4,gola,lako,pcd_paper_style,0.25
