model,prompt_strategy,target_class,saturation_level,text_type,pcd_version,candidate_count,average_pcd
manual,baseline_prompt,N,40.0,word,pcd_paper_style,1,0.0
manual,baseline_prompt,N,50.0,word,pcd_paper_style,1,0.0
manual,baseline_prompt,N,60.0,word,pcd_paper_style,1,0.0
manual,generate_more_than_needed_prompt,N,70.0,word,pcd_paper_style,1,0.0
manual,generate_more_than_needed_prompt,N,80.0,word,pcd_paper_style,1,0.0
manual,few_shot_prompt,N,40.0,sentence,pcd_paper_style,1,0.0
manual,few_shot_prompt,N,50.0,sentence,pcd_paper_style,1,0.0
manual,generate_more_than_needed_prompt,N,60.0,sentence,pcd_paper_style,1,0.0
manual,baseline_prompt,SN,40.0,word,pcd_paper_style,1,0.0
manual,baseline_prompt,SN,50.0,word,pcd_paper_style,1,0.0
manual,generate_more_than_needed_prompt,SN,60.0,word,pcd_paper_style,1,0.0
manual,generate_more_than_needed_prompt,SN,70.0,word,pcd_paper_style,1,0.0
manual,generate_more_than_needed_prompt,SN,80.0,word,pcd_paper_style,1,0.0
manual,few_shot_prompt,SN,40.0,sentence,pcd_paper_style,1,0.0
manual,few_shot_prompt,SN,50.0,sentence,pcd_paper_style,1,0.0
manual,generate_more_than_needed_prompt,SN,60.0,sentence,pcd_paper_style,1,0.0
manual,baseline_prompt,SN,70.0,sentence,pcd_paper_style,1,0.0
manual,baseline_prompt,S,50.0,word,pcd_paper_style,1,0.0
manual,generate_more_than_needed_prompt,S,60.0,word,pcd_paper_style,1,0.0
manual,generate_more_than_needed_prompt,S,70.0,word,pcd_paper_style,1,0.0
manual,generate_more_than_needed_prompt,S,80.0,word,pcd_paper_style,1,0.0
manual,few_shot_prompt,S,40.0,sentence,pcd_paper_style,1,0.0
manual,few_shot_prompt,S,50.0,sentence,pcd_paper_style,1,0.0
manual,generate_more_than_needed_prompt,S,60.0,sentence,pcd_paper_style,1,0.0
manual,generate_more_than_needed_prompt,S,70.0,sentence,pcd_paper_style,1,0.0
manual,baseline_prompt,SV,40.0,word,pcd_paper_style,1,0.0
manual,baseline_prompt,SV,50.0,word,pcd_paper_style,1,0.0
manual,generate_more_than_needed_prompt,SV,60.0,word,pcd_paper_style,1,0.0
manual,generate_more_than_needed_prompt,SV,70.0,word,pcd_paper_style,1,0.0
manual,generate_more_than_needed_prompt,SV,80.0,word,pcd_paper_style,1,0.0
manual,few_shot_prompt,SV,40.0,sentence,pcd_paper_style,1,0.0
manual,few_shot_prompt,SV,50.0,sentence,pcd_paper_style,1,0.0
manual,generate_more_than_needed_prompt,SV,60.0,sentence,pcd_paper_style,1,0.0
manual,baseline_prompt,V,40.0,word,pcd_paper_style,1,0.0
manual,baseline_prompt,V,50.0,word,pcd_paper_style,1,0.0
manual,generate_more_than_needed_prompt,V,60.0,word,pcd_paper_style,1,0.0
manual,generate_more_than_needed_prompt,V,70.0,word,pcd_paper_style,1,0.0
manual,generate_more_than_needed_prompt,V,80.0,word,pcd_paper_style,1,0.0
manual,few_shot_prompt,V,40.0,sentence,pcd_paper_style,1,0.0
manual,few_shot_prompt,V,50.0,sentence,pcd_paper_style,1,0.0
manual,generate_more_than_needed_prompt,V,60.0,sentence,pcd_paper_style,1,0.0
manual,generate_more_than_needed_prompt,V,70.0,sentence,pcd_paper_style,1,0.0
