run_id,model,prompt_strategy,target_class,saturation_level,text_type,candidate_count,valid_count,valid_rate,saturation_pass_count,saturation_pass_rate,unique_candidate_rate,duplicate_rate,average_saturation,pcd_version,average_pcd,failed_saturation,invalid_characters,wrong_word_count,duplicate,repeated_words,dictionary_failed
20260604_151847,llama3.1:8b,paper_style,N,50.0,sentence,20,0,0.0,0,0.0,1.0,0.0,18.63146337517047,pcd_paper_style,0.49889997739680086,20,0,7,0,0,7
20260604_151847,llama3.1:8b,paper_style,N,50.0,word,20,0,0.0,1,0.05,1.0,0.0,28.44282106782107,pcd_paper_style,0.5953017012227538,19,0,0,0,0,13
20260604_151847,llama3.1:8b,paper_style,N,70.0,sentence,20,0,0.0,0,0.0,1.0,0.0,21.811376281558644,pcd_paper_style,0.4310287428015165,20,0,19,0,0,1
20260604_151847,llama3.1:8b,paper_style,N,70.0,word,1,0,0.0,0,0.0,1.0,0.0,19.407894736842106,pcd_paper_style,0.0,1,0,1,0,1,1
20260604_151847,llama3.1:8b,paper_style,S,50.0,sentence,20,0,0.0,0,0.0,1.0,0.0,28.64208639054267,pcd_paper_style,0.4770725363923224,20,0,17,0,1,2
20260604_151847,llama3.1:8b,paper_style,S,50.0,word,20,7,0.35,7,0.35,1.0,0.0,38.5218253968254,pcd_paper_style,0.6154615705931495,13,0,1,1,0,5
20260604_151847,llama3.1:8b,paper_style,S,70.0,sentence,20,0,0.0,0,0.0,1.0,0.0,27.54616632023749,pcd_paper_style,0.5693255742962932,20,0,13,0,1,5
20260604_151847,llama3.1:8b,paper_style,S,70.0,word,20,2,0.1,2,0.1,1.0,0.0,39.77432053902642,pcd_paper_style,0.6315179110999545,18,0,2,0,0,10
20260604_151847,llama3.1:8b,paper_style,SN,50.0,sentence,12,0,0.0,0,0.0,1.0,0.0,20.631105684521515,pcd_paper_style,0.48312362033626405,12,0,9,0,0,1
20260604_151847,llama3.1:8b,paper_style,SN,50.0,word,20,5,0.25,8,0.4,1.0,0.0,37.666666666666664,pcd_paper_style,0.7024561403508772,12,0,0,0,0,4
20260604_151847,llama3.1:8b,paper_style,SN,70.0,sentence,20,0,0.0,0,0.0,1.0,0.0,19.425846661719305,pcd_paper_style,0.5157573893805005,20,0,15,0,1,1
20260604_151847,llama3.1:8b,paper_style,SN,70.0,word,20,0,0.0,0,0.0,1.0,0.0,4.744509043927648,pcd_paper_style,0.6460329117367061,20,0,3,0,0,7
20260604_151847,llama3.1:8b,paper_style,SV,50.0,sentence,19,0,0.0,0,0.0,1.0,0.0,16.341757928125485,pcd_paper_style,0.4365154763635298,19,0,12,0,0,1
20260604_151847,llama3.1:8b,paper_style,SV,50.0,word,20,7,0.35,8,0.4,1.0,0.0,40.60300207039337,pcd_paper_style,0.5651819766808325,12,0,1,0,0,6
20260604_151847,llama3.1:8b,paper_style,SV,70.0,sentence,20,0,0.0,0,0.0,1.0,0.0,22.36425690942713,pcd_paper_style,0.5454481253262176,20,0,10,0,0,3
20260604_151847,llama3.1:8b,paper_style,SV,70.0,word,20,0,0.0,0,0.0,1.0,0.0,22.155072424059764,pcd_paper_style,0.6824676045695366,20,0,1,2,0,4
20260604_151847,llama3.1:8b,paper_style,V,50.0,sentence,20,0,0.0,0,0.0,1.0,0.0,13.430453461699798,pcd_paper_style,0.5663129542329775,20,0,2,1,1,0
20260604_151847,llama3.1:8b,paper_style,V,50.0,word,11,2,0.18181818181818182,2,0.18181818181818182,1.0,0.0,26.49350649350649,pcd_paper_style,0.7645238095238095,9,0,0,1,0,3
20260604_151847,llama3.1:8b,paper_style,V,70.0,sentence,20,0,0.0,0,0.0,1.0,0.0,19.305804849053068,pcd_paper_style,0.5480004246380757,20,0,17,0,2,4
20260604_151847,llama3.1:8b,paper_style,V,70.0,word,15,0,0.0,0,0.0,1.0,0.0,30.833333333333332,pcd_paper_style,0.6466553287981859,15,0,0,1,0,6
