run_id,phoneme,count
20260529_164004,1,1
20260529_164004,2,1
20260529_164004,3,1
20260529_164004,a,16
20260529_164004,b,4
20260529_164004,c,2
20260529_164004,d,1
20260529_164004,dž,1
20260529_164004,e,14
20260529_164004,i,5
20260529_164004,k,3
20260529_164004,l,3
20260529_164004,lj,2
20260529_164004,n,6
20260529_164004,nj,3
20260529_164004,o,9
20260529_164004,p,8
20260529_164004,r,4
20260529_164004,s,6
20260529_164004,t,8
20260529_164004,u,4
20260529_164004,v,2
20260529_164004,z,2
20260529_164004,ć,1
20260529_164004,č,2
20260529_164004,š,5
