run_id,model,prompt_strategy,target_class,saturation_level,text_type,candidate_count,valid_count,valid_rate,saturation_pass_count,saturation_pass_rate,unique_candidate_rate,duplicate_rate,average_saturation,pcd_version,average_pcd,failed_saturation,invalid_characters,wrong_word_count,duplicate,repeated_words,dictionary_failed
20260604_160319,ChatGPT Plus,paper_style,N,50.0,sentence,20,9,0.45,20,1.0,1.0,0.0,66.24847374847374,pcd_paper_style,0.3871810937600411,0,0,0,0,0,11
20260604_160319,ChatGPT Plus,paper_style,N,50.0,word,20,18,0.9,19,0.95,1.0,0.0,69.83333333333333,pcd_paper_style,0.5777819548872181,1,0,0,0,0,1
20260604_160319,ChatGPT Plus,paper_style,N,70.0,sentence,20,5,0.25,5,0.25,1.0,0.0,67.57783882783882,pcd_paper_style,0.3691054559475612,15,0,0,2,0,0
20260604_160319,ChatGPT Plus,paper_style,N,70.0,word,20,11,0.55,20,1.0,1.0,0.0,83.91666666666666,pcd_paper_style,0.5578070175438596,0,0,0,9,0,0
20260604_160319,ChatGPT Plus,paper_style,S,50.0,sentence,20,19,0.95,20,1.0,1.0,0.0,71.8626912303383,pcd_paper_style,0.3737669399743703,0,0,0,0,0,1
20260604_160319,ChatGPT Plus,paper_style,S,50.0,word,20,20,1.0,20,1.0,1.0,0.0,85.66666666666666,pcd_paper_style,0.4783333333333334,0,0,0,0,0,0
20260604_160319,ChatGPT Plus,paper_style,S,70.0,sentence,20,13,0.65,19,0.95,1.0,0.0,80.67582417582418,pcd_paper_style,0.27128373819163293,1,0,0,7,0,0
20260604_160319,ChatGPT Plus,paper_style,S,70.0,word,20,1,0.05,20,1.0,1.0,0.0,91.41666666666666,pcd_paper_style,0.4285964912280702,0,0,0,18,0,1
20260604_160319,ChatGPT Plus,paper_style,SN,50.0,sentence,20,16,0.8,18,0.9,1.0,0.0,60.57555802041096,pcd_paper_style,0.39355920395394084,2,0,0,0,0,2
20260604_160319,ChatGPT Plus,paper_style,SN,50.0,word,20,19,0.95,19,0.95,1.0,0.0,73.83333333333334,pcd_paper_style,0.5982456140350877,1,0,0,0,0,0
20260604_160319,ChatGPT Plus,paper_style,SN,70.0,sentence,20,1,0.05,7,0.35,1.0,0.0,66.75231141407612,pcd_paper_style,0.3785497887045875,13,0,0,14,0,2
20260604_160319,ChatGPT Plus,paper_style,SN,70.0,word,20,14,0.7,20,1.0,1.0,0.0,84.83333333333334,pcd_paper_style,0.4285964912280702,0,0,0,6,0,0
20260604_160319,ChatGPT Plus,paper_style,SV,50.0,sentence,18,17,0.9444444444444444,18,1.0,1.0,0.0,66.0235760971055,pcd_paper_style,0.42989509529301917,0,0,0,0,0,1
