run_id,phoneme,count
20260529_170145,1,1
20260529_170145,2,1
20260529_170145,3,1
20260529_170145,a,16
20260529_170145,b,4
20260529_170145,c,2
20260529_170145,d,1
20260529_170145,dž,1
20260529_170145,e,14
20260529_170145,i,5
20260529_170145,k,3
20260529_170145,l,3
20260529_170145,lj,2
20260529_170145,n,6
20260529_170145,nj,3
20260529_170145,o,9
20260529_170145,p,8
20260529_170145,r,4
20260529_170145,s,6
20260529_170145,t,8
20260529_170145,u,4
20260529_170145,v,2
20260529_170145,z,2
20260529_170145,ć,1
20260529_170145,č,2
20260529_170145,š,5
