run_id,phoneme,count
20260604_151847,0,2
20260604_151847,4,2
20260604_151847,a,1536
20260604_151847,b,253
20260604_151847,c,126
20260604_151847,d,345
20260604_151847,dž,4
20260604_151847,e,1101
20260604_151847,f,12
20260604_151847,g,186
20260604_151847,h,103
20260604_151847,i,1245
20260604_151847,j,492
20260604_151847,k,535
20260604_151847,l,403
20260604_151847,lj,99
20260604_151847,m,316
20260604_151847,n,818
20260604_151847,nj,127
20260604_151847,o,976
20260604_151847,p,201
20260604_151847,r,566
20260604_151847,s,559
20260604_151847,t,523
20260604_151847,u,517
20260604_151847,v,540
20260604_151847,w,2
20260604_151847,y,1
20260604_151847,z,226
20260604_151847,ć,126
20260604_151847,č,192
20260604_151847,đ,24
20260604_151847,š,148
20260604_151847,ť,1
20260604_151847,ž,146
