run_id,phoneme,count
20260604_123242,a,568
20260604_123242,b,109
20260604_123242,c,68
20260604_123242,d,209
20260604_123242,e,363
20260604_123242,g,133
20260604_123242,h,10
20260604_123242,i,356
20260604_123242,j,122
20260604_123242,k,145
20260604_123242,l,182
20260604_123242,lj,5
20260604_123242,m,83
20260604_123242,n,142
20260604_123242,nj,28
20260604_123242,o,248
20260604_123242,p,144
20260604_123242,r,246
20260604_123242,s,179
20260604_123242,t,226
20260604_123242,u,290
20260604_123242,v,167
20260604_123242,z,54
20260604_123242,ć,28
20260604_123242,č,79
20260604_123242,đ,14
20260604_123242,š,49
20260604_123242,ž,31
