run_id,phoneme,count
20260529_171437,1,1
20260529_171437,2,1
20260529_171437,3,1
20260529_171437,a,58
20260529_171437,b,8
20260529_171437,c,16
20260529_171437,d,15
20260529_171437,dž,6
20260529_171437,e,46
20260529_171437,g,9
20260529_171437,h,2
20260529_171437,i,40
20260529_171437,j,3
20260529_171437,k,5
20260529_171437,l,15
20260529_171437,lj,4
20260529_171437,m,12
20260529_171437,n,18
20260529_171437,nj,3
20260529_171437,o,35
20260529_171437,p,22
20260529_171437,r,23
20260529_171437,s,23
20260529_171437,t,25
20260529_171437,u,20
20260529_171437,v,15
20260529_171437,y,1
20260529_171437,z,12
20260529_171437,ć,7
20260529_171437,č,9
20260529_171437,š,11
20260529_171437,ž,1
