run_id,candidate_id,candidate,model,prompt_strategy,target_class,saturation_level,text_type,source_adapter,source_file,original_text,normalized_text,phonemes,total_phonemes,target_count,saturation_percentage,passes_saturation,is_valid,failure_reasons,word_count,dictionary_mode,dictionary_backend,dictionary_word_validity,dictionary_invalid_words,dictionary_unknown_words,dictionary_review_complete
20260603_171515,20260603_171515_00000,panj,manual,manual_example,N,50.0,word,manual_csv,data/manual_candidates_example.csv,panj,panj,p a nj,3,2,66.66666666666666,True,True,,1,hunspell_cli,hunspell_cli,yes,,,yes
20260603_171515,20260603_171515_00001,puna banana,manual,manual_example,N,50.0,sentence,manual_csv,data/manual_candidates_example.csv,puna banana,puna banana,p u n a b a n a n a,10,6,60.0,True,False,wrong_word_count,2,hunspell_cli,hunspell_cli,yes,,,yes
20260603_171515,20260603_171515_00002,puno banana u panju,manual,manual_example,N,50.0,sentence,manual_csv,data/manual_candidates_example.csv,puno banana u panju,puno banana u panju,p u n o b a n a n a u p a nj u,15,10,66.66666666666666,True,True,,4,hunspell_cli,hunspell_cli,yes,,,yes
20260603_171515,20260603_171515_00003,polje,manual,manual_example,SN,50.0,word,manual_csv,data/manual_candidates_example.csv,polje,polje,p o lj e,4,2,50.0,True,True,,1,hunspell_cli,hunspell_cli,yes,,,yes
20260603_171515,20260603_171515_00004,ovo veliko polje,manual,manual_example,SN,50.0,sentence,manual_csv,data/manual_candidates_example.csv,ovo veliko polje,ovo veliko polje,o v o v e l i k o p o lj e,13,8,61.53846153846154,True,True,,3,hunspell_cli,hunspell_cli,yes,,,yes
20260603_171515,20260603_171515_00005,džep,manual,manual_example,S,50.0,word,manual_csv,data/manual_candidates_example.csv,džep,džep,dž e p,3,1,33.33333333333333,False,False,failed_saturation,1,hunspell_cli,hunspell_cli,yes,,,yes
20260603_171515,20260603_171515_00006,brza riba radi,manual,manual_example,S,50.0,sentence,manual_csv,data/manual_candidates_example.csv,brza riba radi,brza riba radi,b r z a r i b a r a d i,12,7,58.333333333333336,True,True,,3,hunspell_cli,hunspell_cli,yes,,,yes
20260603_171515,20260603_171515_00007,čest šešir,manual,manual_example,SV,50.0,sentence,manual_csv,data/manual_candidates_example.csv,čest šešir,čest šešir,č e s t š e š i r,9,6,66.66666666666666,True,False,wrong_word_count,2,hunspell_cli,hunspell_cli,yes,,,yes
20260603_171515,20260603_171515_00008,teta šeće često,manual,manual_example,SV,50.0,sentence,manual_csv,data/manual_candidates_example.csv,teta šeće često,teta šeće često,t e t a š e ć e č e s t o,13,9,69.23076923076923,True,True,,3,hunspell_cli,hunspell_cli,yes,,,yes
20260603_171515,20260603_171515_00009,sit zec s ceste,manual,manual_example,V,50.0,sentence,manual_csv,data/manual_candidates_example.csv,sit zec s ceste,sit zec s ceste,s i t z e c s c e s t e,12,7,58.333333333333336,True,True,,4,hunspell_cli,hunspell_cli,yes,,,yes
20260603_171515,20260603_171515_00010,škola škola,manual,manual_example,SV,50.0,sentence,manual_csv,data/manual_candidates_example.csv,škola škola,škola škola,š k o l a š k o l a,10,2,20.0,False,False,failed_saturation;wrong_word_count;repeated_words,2,hunspell_cli,hunspell_cli,yes,,,yes
20260603_171515,20260603_171515_00011,test123,manual,manual_example,V,50.0,word,manual_csv,data/manual_candidates_example.csv,test123,test123,t e s t 1 2 3,7,1,14.285714285714285,False,False,failed_saturation;invalid_characters;dictionary_failed,1,hunspell_cli,hunspell_cli,no,test123,,yes
20260603_171515,20260603_171515_00012,panj,manual,manual_example,N,50.0,word,manual_csv,data/manual_candidates_example.csv,panj,panj,p a nj,3,2,66.66666666666666,True,False,duplicate,1,hunspell_cli,hunspell_cli,yes,,,yes
