run_id,phoneme,count
20260604_160116,a,903
20260604_160116,b,252
20260604_160116,c,153
20260604_160116,d,321
20260604_160116,e,616
20260604_160116,f,1
20260604_160116,g,234
20260604_160116,h,13
20260604_160116,i,627
20260604_160116,j,179
20260604_160116,k,185
20260604_160116,l,287
20260604_160116,lj,28
20260604_160116,m,170
20260604_160116,n,225
20260604_160116,nj,56
20260604_160116,o,381
20260604_160116,p,169
20260604_160116,r,412
20260604_160116,s,273
20260604_160116,t,377
20260604_160116,u,538
20260604_160116,v,263
20260604_160116,z,75
20260604_160116,ć,31
20260604_160116,č,156
20260604_160116,đ,6
20260604_160116,š,130
20260604_160116,ž,27
