run_id,candidate_id,candidate,model,prompt_strategy,target_class,saturation_level,text_type,source_adapter,source_file,original_text,normalized_text,phonemes,total_phonemes,target_count,saturation_percentage,passes_saturation,is_valid,failure_reasons,word_count,dictionary_mode,dictionary_backend,dictionary_word_validity,dictionary_invalid_words,dictionary_unknown_words,dictionary_review_complete
20260604_143739,20260604_143739_00000,babilonski,llama3.1:8b,paper_style,N,50.0,word,ollama,data/generated_ollama_task16_full.csv,babilonski,babilonski,b a b i l o n s k i,10,3,30.0,False,False,failed_saturation,1,none,none,yes,,,yes
20260604_143739,20260604_143739_00001,bankarstvo,llama3.1:8b,paper_style,N,50.0,word,ollama,data/generated_ollama_task16_full.csv,bankarstvo,bankarstvo,b a n k a r s t v o,10,2,20.0,False,False,failed_saturation,1,none,none,yes,,,yes
20260604_143739,20260604_143739_00002,banjotop,llama3.1:8b,paper_style,N,50.0,word,ollama,data/generated_ollama_task16_full.csv,banjotop,banjotop,b a nj o t o p,7,3,42.857142857142854,False,False,failed_saturation,1,none,none,yes,,,yes
20260604_143739,20260604_143739_00003,barem,llama3.1:8b,paper_style,N,50.0,word,ollama,data/generated_ollama_task16_full.csv,barem,barem,b a r e m,5,2,40.0,False,False,failed_saturation,1,none,none,yes,,,yes
20260604_143739,20260604_143739_00004,barman,llama3.1:8b,paper_style,N,50.0,word,ollama,data/generated_ollama_task16_full.csv,barman,barman,b a r m a n,6,3,50.0,True,True,,1,none,none,yes,,,yes
20260604_143739,20260604_143739_00005,bartar,llama3.1:8b,paper_style,N,50.0,word,ollama,data/generated_ollama_task16_full.csv,bartar,bartar,b a r t a r,6,1,16.666666666666664,False,False,failed_saturation,1,none,none,yes,,,yes
20260604_143739,20260604_143739_00006,bazačić,llama3.1:8b,paper_style,N,50.0,word,ollama,data/generated_ollama_task16_full.csv,bazačić,bazačić,b a z a č i ć,7,1,14.285714285714285,False,False,failed_saturation,1,none,none,yes,,,yes
20260604_143739,20260604_143739_00007,bebeto,llama3.1:8b,paper_style,N,50.0,word,ollama,data/generated_ollama_task16_full.csv,bebeto,bebeto,b e b e t o,6,2,33.33333333333333,False,False,failed_saturation,1,none,none,yes,,,yes
20260604_143739,20260604_143739_00008,belega,llama3.1:8b,paper_style,N,50.0,word,ollama,data/generated_ollama_task16_full.csv,belega,belega,b e l e g a,6,1,16.666666666666664,False,False,failed_saturation,1,none,none,yes,,,yes
20260604_143739,20260604_143739_00009,belina,llama3.1:8b,paper_style,N,50.0,word,ollama,data/generated_ollama_task16_full.csv,belina,belina,b e l i n a,6,2,33.33333333333333,False,False,failed_saturation,1,none,none,yes,,,yes
20260604_143739,20260604_143739_00010,benzolični,llama3.1:8b,paper_style,N,50.0,word,ollama,data/generated_ollama_task16_full.csv,benzolični,benzolični,b e n z o l i č n i,10,3,30.0,False,False,failed_saturation,1,none,none,yes,,,yes
20260604_143739,20260604_143739_00011,bergantić,llama3.1:8b,paper_style,N,50.0,word,ollama,data/generated_ollama_task16_full.csv,bergantić,bergantić,b e r g a n t i ć,9,2,22.22222222222222,False,False,failed_saturation,1,none,none,yes,,,yes
20260604_143739,20260604_143739_00012,bezdani,llama3.1:8b,paper_style,N,50.0,word,ollama,data/generated_ollama_task16_full.csv,bezdani,bezdani,b e z d a n i,7,2,28.57142857142857,False,False,failed_saturation,1,none,none,yes,,,yes
20260604_143739,20260604_143739_00013,bezglupan,llama3.1:8b,paper_style,N,50.0,word,ollama,data/generated_ollama_task16_full.csv,bezglupan,bezglupan,b e z g l u p a n,9,4,44.44444444444444,False,False,failed_saturation,1,none,none,yes,,,yes
20260604_143739,20260604_143739_00014,bezgrješan,llama3.1:8b,paper_style,N,50.0,word,ollama,data/generated_ollama_task16_full.csv,bezgrješan,bezgrješan,b e z g r j e š a n,10,2,20.0,False,False,failed_saturation,1,none,none,yes,,,yes
20260604_143739,20260604_143739_00015,bezjamstvo,llama3.1:8b,paper_style,N,50.0,word,ollama,data/generated_ollama_task16_full.csv,bezjamstvo,bezjamstvo,b e z j a m s t v o,10,2,20.0,False,False,failed_saturation,1,none,none,yes,,,yes
20260604_143739,20260604_143739_00016,bezkreditno,llama3.1:8b,paper_style,N,50.0,word,ollama,data/generated_ollama_task16_full.csv,bezkreditno,bezkreditno,b e z k r e d i t n o,11,2,18.181818181818183,False,False,failed_saturation,1,none,none,yes,,,yes
20260604_143739,20260604_143739_00017,bezmalo,llama3.1:8b,paper_style,N,50.0,word,ollama,data/generated_ollama_task16_full.csv,bezmalo,bezmalo,b e z m a l o,7,2,28.57142857142857,False,False,failed_saturation,1,none,none,yes,,,yes
20260604_143739,20260604_143739_00018,bezmašan,llama3.1:8b,paper_style,N,50.0,word,ollama,data/generated_ollama_task16_full.csv,bezmašan,bezmašan,b e z m a š a n,8,3,37.5,False,False,failed_saturation,1,none,none,yes,,,yes
20260604_143739,20260604_143739_00019,bezmravac,llama3.1:8b,paper_style,N,50.0,word,ollama,data/generated_ollama_task16_full.csv,bezmravac,bezmravac,b e z m r a v a c,9,2,22.22222222222222,False,False,failed_saturation,1,none,none,yes,,,yes
20260604_143739,20260604_143739_00020,Novčanik,llama3.1:8b,strict_plain_list,N,50.0,word,ollama,data/generated_ollama_task16_full.csv,Novčanik,novčanik,n o v č a n i k,8,2,25.0,False,False,failed_saturation,1,none,none,yes,,,yes
20260604_143739,20260604_143739_00021,Nepoznati,llama3.1:8b,strict_plain_list,N,50.0,word,ollama,data/generated_ollama_task16_full.csv,Nepoznati,nepoznati,n e p o z n a t i,9,3,33.33333333333333,False,False,failed_saturation,1,none,none,yes,,,yes
20260604_143739,20260604_143739_00022,Niski,llama3.1:8b,strict_plain_list,N,50.0,word,ollama,data/generated_ollama_task16_full.csv,Niski,niski,n i s k i,5,1,20.0,False,False,failed_saturation,1,none,none,yes,,,yes
20260604_143739,20260604_143739_00023,Novačka,llama3.1:8b,strict_plain_list,N,50.0,word,ollama,data/generated_ollama_task16_full.csv,Novačka,novačka,n o v a č k a,7,1,14.285714285714285,False,False,failed_saturation,1,none,none,yes,,,yes
