prompt_file,prompt_strategy,text_type,target_class,saturation_level,candidate_count
chatgpt_paper_style_word_N_40.txt,paper_style,word,N,40,11
chatgpt_paper_style_word_N_50.txt,paper_style,word,N,50,11
chatgpt_paper_style_word_N_60.txt,paper_style,word,N,60,11
chatgpt_paper_style_word_N_70.txt,paper_style,word,N,70,11
chatgpt_paper_style_word_N_80.txt,paper_style,word,N,80,11
chatgpt_paper_style_word_SN_40.txt,paper_style,word,SN,40,11
chatgpt_paper_style_word_SN_50.txt,paper_style,word,SN,50,11
chatgpt_paper_style_word_SN_60.txt,paper_style,word,SN,60,11
chatgpt_paper_style_word_SN_70.txt,paper_style,word,SN,70,11
chatgpt_paper_style_word_SN_80.txt,paper_style,word,SN,80,11
chatgpt_paper_style_word_S_40.txt,paper_style,word,S,40,11
chatgpt_paper_style_word_S_50.txt,paper_style,word,S,50,11
chatgpt_paper_style_word_S_60.txt,paper_style,word,S,60,11
chatgpt_paper_style_word_S_70.txt,paper_style,word,S,70,11
chatgpt_paper_style_word_S_80.txt,paper_style,word,S,80,11
chatgpt_paper_style_word_SV_40.txt,paper_style,word,SV,40,11
chatgpt_paper_style_word_SV_50.txt,paper_style,word,SV,50,11
chatgpt_paper_style_word_SV_60.txt,paper_style,word,SV,60,11
chatgpt_paper_style_word_SV_70.txt,paper_style,word,SV,70,11
chatgpt_paper_style_word_SV_80.txt,paper_style,word,SV,80,11
chatgpt_paper_style_word_V_40.txt,paper_style,word,V,40,11
chatgpt_paper_style_word_V_50.txt,paper_style,word,V,50,11
chatgpt_paper_style_word_V_60.txt,paper_style,word,V,60,11
chatgpt_paper_style_word_V_70.txt,paper_style,word,V,70,11
chatgpt_paper_style_word_V_80.txt,paper_style,word,V,80,11
chatgpt_paper_style_sentence_N_50.txt,paper_style,sentence,N,50,21
chatgpt_paper_style_sentence_N_70.txt,paper_style,sentence,N,70,21
chatgpt_paper_style_sentence_SN_50.txt,paper_style,sentence,SN,50,21
chatgpt_paper_style_sentence_SN_70.txt,paper_style,sentence,SN,70,21
chatgpt_paper_style_sentence_S_50.txt,paper_style,sentence,S,50,21
chatgpt_paper_style_sentence_S_70.txt,paper_style,sentence,S,70,21
chatgpt_paper_style_sentence_SV_50.txt,paper_style,sentence,SV,50,21
chatgpt_paper_style_sentence_SV_70.txt,paper_style,sentence,SV,70,21
chatgpt_paper_style_sentence_V_50.txt,paper_style,sentence,V,50,21
chatgpt_paper_style_sentence_V_70.txt,paper_style,sentence,V,70,21
